===== Skyline Algorithm Result =====
Container Width: 2048
Minimum Height: 51256
Item Placement:
Item 1: (original w=128, h=128) → placed at (x=0, y=0), rotated=No
Item 2: (original w=8, h=8) → placed at (x=512, y=0), rotated=No
Item 3: (original w=16, h=16) → placed at (x=1024, y=0), rotated=No
Item 4: (original w=8, h=16) → placed at (x=1536, y=0), rotated=No
Item 5: (original w=112, h=48) → placed at (x=1536, y=512), rotated=No
Item 6: (original w=8, h=8) → placed at (x=1536, y=1024), rotated=No
Item 7: (original w=8, h=8) → placed at (x=1536, y=1536), rotated=No
Item 8: (original w=128, h=256) → placed at (x=1536, y=2048), rotated=No
Item 9: (original w=80, h=32) → placed at (x=1536, y=2560), rotated=No
Item 10: (original w=16, h=32) → placed at (x=1536, y=3072), rotated=No
Item 11: (original w=8, h=8) → placed at (x=1536, y=3584), rotated=No
Item 12: (original w=256, h=512) → placed at (x=1536, y=4096), rotated=No
Item 13: (original w=8, h=16) → placed at (x=1536, y=4608), rotated=No
Item 14: (original w=32, h=64) → placed at (x=1536, y=5120), rotated=No
Item 15: (original w=512, h=256) → placed at (x=1536, y=5632), rotated=No
Item 16: (original w=512, h=512) → placed at (x=1536, y=6144), rotated=No
Item 17: (original w=64, h=64) → placed at (x=1536, y=6656), rotated=No
Item 18: (original w=8, h=8) → placed at (x=1536, y=7168), rotated=No
Item 19: (original w=16, h=16) → placed at (x=1536, y=7680), rotated=No
Item 20: (original w=48, h=32) → placed at (x=1536, y=8192), rotated=No
Item 21: (original w=16, h=16) → placed at (x=1536, y=8704), rotated=No
Item 22: (original w=256, h=512) → placed at (x=1536, y=9216), rotated=No
Item 23: (original w=512, h=512) → placed at (x=1536, y=9728), rotated=No
Item 24: (original w=512, h=256) → placed at (x=1536, y=10240), rotated=No
Item 25: (original w=128, h=256) → placed at (x=1536, y=10752), rotated=No
Item 26: (original w=256, h=128) → placed at (x=1536, y=11264), rotated=No
Item 27: (original w=8, h=8) → placed at (x=1536, y=11776), rotated=No
Item 28: (original w=128, h=256) → placed at (x=1536, y=12032), rotated=No
Item 29: (original w=64, h=48) → placed at (x=1536, y=12288), rotated=No
Item 30: (original w=64, h=32) → placed at (x=1536, y=12544), rotated=No
Item 31: (original w=64, h=64) → placed at (x=1536, y=12800), rotated=No
Item 32: (original w=32, h=32) → placed at (x=1536, y=13056), rotated=No
Item 33: (original w=16, h=32) → placed at (x=1536, y=13312), rotated=No
Item 34: (original w=64, h=64) → placed at (x=1536, y=13568), rotated=No
Item 35: (original w=64, h=80) → placed at (x=1536, y=13824), rotated=No
Item 36: (original w=80, h=64) → placed at (x=1536, y=14080), rotated=No
Item 37: (original w=128, h=128) → placed at (x=1536, y=14336), rotated=No
Item 38: (original w=8, h=16) → placed at (x=1536, y=14592), rotated=No
Item 39: (original w=64, h=32) → placed at (x=1536, y=14848), rotated=No
Item 40: (original w=64, h=32) → placed at (x=1536, y=15104), rotated=No
Item 41: (original w=64, h=128) → placed at (x=1536, y=15360), rotated=No
Item 42: (original w=512, h=512) → placed at (x=1536, y=15616), rotated=No
Item 43: (original w=64, h=32) → placed at (x=1536, y=15872), rotated=No
Item 44: (original w=8, h=16) → placed at (x=1536, y=16128), rotated=No
Item 45: (original w=48, h=80) → placed at (x=1536, y=16384), rotated=No
Item 46: (original w=128, h=256) → placed at (x=1792, y=16384), rotated=No
Item 47: (original w=8, h=8) → placed at (x=1792, y=16896), rotated=No
Item 48: (original w=16, h=16) → placed at (x=1792, y=17408), rotated=No
Item 49: (original w=128, h=128) → placed at (x=1792, y=17920), rotated=No
Item 50: (original w=256, h=128) → placed at (x=1792, y=18432), rotated=No
Item 51: (original w=128, h=256) → placed at (x=1792, y=18944), rotated=No
Item 52: (original w=64, h=64) → placed at (x=1792, y=19456), rotated=No
Item 53: (original w=512, h=512) → placed at (x=1792, y=19968), rotated=No
Item 54: (original w=128, h=256) → placed at (x=1792, y=20480), rotated=No
Item 55: (original w=128, h=64) → placed at (x=1792, y=20992), rotated=No
Item 56: (original w=8, h=8) → placed at (x=1792, y=21504), rotated=No
Item 57: (original w=64, h=32) → placed at (x=1792, y=22016), rotated=No
Item 58: (original w=16, h=8) → placed at (x=1792, y=22528), rotated=No
Item 59: (original w=256, h=128) → placed at (x=1792, y=23040), rotated=No
Item 60: (original w=48, h=48) → placed at (x=1792, y=23552), rotated=No
Item 61: (original w=8, h=8) → placed at (x=1792, y=24064), rotated=No
Item 62: (original w=64, h=64) → placed at (x=1792, y=24576), rotated=No
Item 63: (original w=128, h=64) → placed at (x=1792, y=25088), rotated=No
Item 64: (original w=8, h=8) → placed at (x=1792, y=25600), rotated=No
Item 65: (original w=8, h=8) → placed at (x=1792, y=26112), rotated=No
Item 66: (original w=256, h=128) → placed at (x=1792, y=26624), rotated=No
Item 67: (original w=256, h=512) → placed at (x=1792, y=26880), rotated=No
Item 68: (original w=96, h=48) → placed at (x=1792, y=27136), rotated=No
Item 69: (original w=256, h=512) → placed at (x=1792, y=27392), rotated=No
Item 70: (original w=48, h=64) → placed at (x=1792, y=27648), rotated=No
Item 71: (original w=128, h=64) → placed at (x=1792, y=27904), rotated=No
Item 72: (original w=256, h=128) → placed at (x=1792, y=28160), rotated=No
Item 73: (original w=512, h=512) → placed at (x=1792, y=28416), rotated=No
Item 74: (original w=96, h=32) → placed at (x=1792, y=28672), rotated=No
Item 75: (original w=64, h=128) → placed at (x=1792, y=28928), rotated=No
Item 76: (original w=32, h=16) → placed at (x=1792, y=29184), rotated=No
Item 77: (original w=128, h=128) → placed at (x=1792, y=29440), rotated=No
Item 78: (original w=128, h=256) → placed at (x=1792, y=29696), rotated=No
Item 79: (original w=32, h=64) → placed at (x=1792, y=29952), rotated=No
Item 80: (original w=32, h=16) → placed at (x=1792, y=30208), rotated=No
Item 81: (original w=8, h=8) → placed at (x=1792, y=30464), rotated=No
Item 82: (original w=32, h=16) → placed at (x=1792, y=30592), rotated=No
Item 83: (original w=8, h=8) → placed at (x=1792, y=30720), rotated=No
Item 84: (original w=32, h=16) → placed at (x=1792, y=30848), rotated=No
